Years,Value
2006.083333,34.83
2006.166667,42.62
2006.25,55.26
2006.333333,62.28
2006.416667,70.75
2006.5,76.41
2006.583333,73.4
2006.666667,63.3
2006.75,52.59
2006.833333,44.08
2006.916667,36.57
2007,31.35
2007.083333,32.41
2007.166667,47.66
2007.25,50.54
2007.333333,62.33
2007.416667,69.87
2007.5,74.7
2007.583333,74.64
2007.666667,66.43
2007.75,56.68
2007.833333,44.01
2007.916667,33.22
2008,30.27
2008.083333,34.7
2008.166667,41.86
2008.25,50.4
2008.333333,59.36
2008.416667,69.6
2008.5,74.08
2008.583333,72.28
2008.666667,65.21
2008.75,53.98
2008.833333,43.92
2008.916667,31.87
2009,31.05
2009.083333,36.77
2009.166667,42.87
2009.25,50.92
2009.333333,61.65
2009.416667,68.54
2009.5,72.63
2009.583333,71.89
2009.666667,66.38
2009.75,50.5
2009.833333,45.84
2009.916667,29.64
2010,30.67
2010.083333,31.8
2010.166667,43.57
2010.25,53.24
2010.333333,59.88
2010.416667,70.48
2010.5,74.71
2010.583333,74.05
2010.666667,66.49
2010.75,56.14
2010.833333,42.31
2010.916667,32.47
2011,29.71
2011.083333,33.04
2011.166667,43.07
2011.25,51.96
2011.333333,59.13
2011.416667,69.82
2011.5,76.14
2011.583333,75
2011.666667,66.09
2011.75,55.09
2011.833333,43.75
2011.916667,35.4
2012,36.12
2012.083333,37.51
2012.166667,50.41
2012.25,54.68
2012.333333,63.45
2012.416667,70.54
2012.5,76.77
2012.583333,73.8
2012.666667,66.31
2012.75,53.89
2012.833333,44.01
2012.916667,35.92
2013,32.25
2013.083333,34.77
2013.166667,40.91
2013.25,49.68
2013.333333,60.85
2013.416667,70.39
2013.5,74.21
2013.583333,72.99
2013.666667,66.96
2013.75,53.44
2013.833333,41.61
2013.916667,31.06
2014,30.56
2014.083333,32.13
2014.166667,40.51
2014.25,51.69
2014.333333,61.27
2014.416667,69.58
2014.5,73.29
2014.583333,72.25
2014.666667,66.2
2014.75,56.93
2014.833333,39.25
2014.916667,36.81
2015,33.08
2015.083333,32.99
2015.166667,45.39
2015.25,53.24
2015.333333,60.84
2015.416667,71.37
2015.5,73.92
2015.583333,72.95
2015.666667,68.54
2015.75,57.24
2015.833333,44.6
2015.916667,38.66
2016,32.22
2016.083333,39.47
2016.166667,47.5
2016.25,53.19
2016.333333,60.33
2016.416667,71.76
2016.5,75.22
2016.583333,73.53
2016.666667,67.12
2016.75,57.72
2016.833333,47.97
2016.916667,32.95
2017,33.57
2017.083333,41.18
2017.166667,46.15
2017.25,53.8
2017.333333,60.57
2017.416667,70.36
2017.5,75.7
2017.583333,72.01
